emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,2065-01-03,1994-03-10,9999-01-01,Senior Staff
10122,Ohad,Esposito,2065-01-19,1998-08-06,9999-01-01,Technique Leader
10291,Dipayan,Seghrouchni,2065-01-23,1987-03-30,9999-01-01,Senior Staff
10410,Takahito,Gecsei,2065-01-19,1993-10-16,1996-07-21,Staff
10476,Kokou,Iisaka,2065-01-01,1987-09-20,9999-01-01,Senior Staff
10480,Make,Baba,2065-01-25,1988-05-18,1989-06-03,Staff
10663,Teunis,Noriega,2065-01-09,1999-02-12,9999-01-01,Technique Leader
10762,Lech,Himler,2065-01-19,1992-01-21,9999-01-01,Senior Staff
10933,Juyoung,Seghrouchni,2065-01-24,1993-08-02,9999-01-01,Senior Engineer
11015,Jeanna,Riesenhuber,2065-01-24,1998-03-14,2000-02-22,Senior Staff
11126,Hideo,Daescu,2065-01-08,1992-02-25,2002-04-04,Senior Staff
11157,Mario,Cochrane,2065-02-01,1985-03-30,1991-02-06,Engineer
11432,Yongmao,Zwicker,2065-01-15,1987-10-19,1997-09-13,Senior Engineer
12155,Keiichiro,Glinert,2065-01-21,1993-09-16,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,2065-01-10,1995-04-18,9999-01-01,Senior Engineer
12643,Morrie,Schurmann,2065-01-30,1998-12-31,9999-01-01,Staff
13499,Kazuhiko,Sidou,2065-01-16,1991-09-01,9999-01-01,Technique Leader
13957,Angus,Chelton,2065-01-10,1986-04-18,1987-02-02,Senior Engineer
14075,Denny,Tchuente,2065-01-03,1991-05-30,9999-01-01,Engineer
14104,Sudhanshu,Demian,2065-01-03,1994-07-23,9999-01-01,Senior Staff
14127,Magdalena,Cannard,2065-01-10,1994-04-22,9999-01-01,Senior Engineer
14158,Caolyn,Setiz,2065-01-22,1990-02-06,9999-01-01,Senior Staff
14476,Sastry,Marrevee,2065-01-19,1999-09-25,9999-01-01,Engineer
14551,Richard,Sinitsyn,2065-01-18,1993-06-27,1993-09-16,Senior Staff
14907,Nakhoon,Luga,2065-01-14,1986-12-18,9999-01-01,Senior Staff
